node_num,xml_level,xml_index,parent_location,isParent,node_attributes,component_validity,old_bounds,new_bounds,total_changes,change_types,change_description,new_attributes
1,0,0,,,,ignored,,,0,,,
9,8,0,"(7, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/ui_layout', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}",valid,"[0,63][1080,1794]","[0,63][1080,1794]",0,NC,No changes,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/ui_layout', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,1794]'}"
10,9,0,"(8, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/toolbar_layout', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,215]'}",valid,"[0,63][1080,215]","[0,63][1080,215]",0,NC,No changes,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/toolbar_layout', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,215]'}"
11,10,0,"(9, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/toolbar', 'class': 'android.view.ViewGroup', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}",valid,"[0,63][1080,210]","[0,63][1080,210]",0,NC,No changes,"{'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/toolbar', 'class': 'android.view.ViewGroup', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,63][1080,210]'}"
12,11,0,"(10, '0')",Parent,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,68][954,210]'}",valid,"[0,68][954,210]","[0,68][954,210]",0,NC,No changes,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,68][954,210]'}"
13,12,0,"(11, '0')",Parent,"{'NAF': 'true', 'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/arrow_button', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,68][147,210]'}",valid,"[0,68][147,210]","[784,1789][906,1907]",5,"['CR', 'HT', 'VT', 'VS', 'HS']","['Component has been removed', 'Component has been horizontally translated', 'Component has been vertically translated', 'Component size has been changed vertically', 'Component size has been changed horizontally']","{'NAF': 'true', 'index': '0', 'text': '', 'resource-id': 'acr.browser.lightning:id/arrow_button', 'class': 'android.widget.FrameLayout', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[784,1789][906,1907]'}"
16,13,0,"(12, '1')",Leaf,"{'index': '0', 'text': 'Search', 'resource-id': 'acr.browser.lightning:id/search', 'class': 'android.widget.EditText', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[152,84][949,194]'}",valid,"[152,84][949,194]","[152,84][797,110]",2,"['VS', 'HS']","['Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': 'Search', 'resource-id': 'acr.browser.lightning:id/search', 'class': 'android.widget.EditText', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[152,84][797,110]'}"
24,13,0,"(12, '0')",Leaf,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.Image', 'package': 'acr.browser.lightning', 'content-desc': 'google', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[270,732][811,910]'}",valid,"[270,732][811,910]","[270,732][541,178]",2,"['VS', 'HS']","['Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.Image', 'package': 'acr.browser.lightning', 'content-desc': 'google', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[270,732][541,178]'}"
25,13,1,"(12, '0')",Leaf,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '\n', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}",ignored,"[0,0][0,0]","[0,0][0,0]",0,NC,No changes,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '\n', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}"
26,13,2,"(12, '0')",Leaf,"{'index': '2', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '\n', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}",ignored,"[0,0][0,0]","[0,0][0,0]",0,NC,No changes,"{'index': '2', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '\n', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}"
28,13,0,"(12, '1')",Leaf,"{'index': '0', 'text': '', 'resource-id': 'search_submit', 'class': 'android.widget.Button', 'package': 'acr.browser.lightning', 'content-desc': 'Search', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[861,971][1026,1068]'}",valid,"[861,971][1026,1068]","[861,971][165,97]",2,"['VS', 'HS']","['Component size has been changed vertically', 'Component size has been changed horizontally']","{'index': '0', 'text': '', 'resource-id': 'search_submit', 'class': 'android.widget.Button', 'package': 'acr.browser.lightning', 'content-desc': 'Search', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[861,971][165,97]'}"
30,12,2,"(11, '0')",Parent,"{'index': '2', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}",ignored,"[0,0][0,0]","[0,0][0,0]",0,NC,No changes,"{'index': '2', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}"
31,13,0,"(12, '2')",Leaf,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '\n', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}",ignored,"[0,0][0,0]","[0,0][0,0]",0,NC,No changes,"{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '\n', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}"
32,13,1,"(12, '2')",Leaf,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '\n', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}",ignored,"[0,0][0,0]","[0,0][0,0]",0,NC,No changes,"{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '\n', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}"
33,2,1,"(1, '0')",Leaf,"{'index': '1', 'text': '', 'resource-id': 'android:id/statusBarBackground', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,63]'}",ignored,"[0,0][1080,63]","[0,0][1080,63]",0,NC,No changes,"{'index': '1', 'text': '', 'resource-id': 'android:id/statusBarBackground', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,63]'}"
34,2,2,"(1, '0')",Leaf,"{'index': '2', 'text': '', 'resource-id': 'android:id/navigationBarBackground', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}",ignored,"[0,0][0,0]","[0,0][0,0]",0,NC,No changes,"{'index': '2', 'text': '', 'resource-id': 'android:id/navigationBarBackground', 'class': 'android.view.View', 'package': 'acr.browser.lightning', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][0,0]'}"
