old_bounds,new_bounds,node_attributes,new_attributes,change_types,class
"[413,1479][667,1659]",,"{'index': '1', 'text': 'SHORTCUTS', 'resource-id': 'amirz.rootless.nexuslauncher:id/widget_button', 'class': 'android.widget.ImageView', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[413,1479][667,1659]'}",,['CR'],ImageView
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,FrameLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.widget.LinearLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,LinearLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': 'android:id/content', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,FrameLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/launcher', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/launcher', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,FrameLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/drag_layer', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/drag_layer', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,FrameLayout
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/workspace', 'class': 'com.android.launcher3.Workspace', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/workspace', 'class': 'com.android.launcher3.Workspace', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,Workspace
"[177,378][903,1296]","[177,378][903,1296]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': 'Home screen 1 of 1', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[177,378][903,1296]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': 'Home screen 1 of 1', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[177,378][903,1296]'}",NC,ViewGroup
"[187,378][893,1296]","[187,378][893,1296]","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[187,378][893,1296]'}","{'index': '0', 'text': '', 'resource-id': '', 'class': 'android.view.ViewGroup', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[187,378][893,1296]'}",NC,ViewGroup
"[187,378][893,607]","[187,355][893,584]","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/search_container_workspace', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[187,378][893,607]'}","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/search_container_workspace', 'class': 'android.widget.FrameLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[187,355][893,584]'}","['VT', 'VS']",FrameLayout
"[364,378][717,607]","[364,355][717,584]","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/smartspace_content', 'class': 'android.widget.LinearLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[364,378][717,607]'}","{'index': '0', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/smartspace_content', 'class': 'android.widget.LinearLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[364,355][717,584]'}","['VT', 'VS']",LinearLayout
"[364,378][717,607]","[364,355][717,584]","{'index': '0', 'text': 'Tuesday, Aug 10', 'resource-id': 'amirz.rootless.nexuslauncher:id/clock', 'class': 'android.widget.TextView', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': 'Tuesday, Aug 10', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[364,378][717,607]'}","{'index': '0', 'text': 'Tuesday, Aug 10', 'resource-id': 'amirz.rootless.nexuslauncher:id/clock', 'class': 'android.widget.TextView', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': 'Tuesday, Aug 10', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[364,355][717,584]'}","['VT', 'VS']",TextView
,"[0,549][1080,1794]",,"{'index': '1', 'text': '[]\nWALLPAPERS\nWIDGETS\nHOME SETTINGS', 'resource-id': 'ImageView-1', 'class': 'android.widget.ImageView', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': '', 'checked': '', 'clickable': '', 'enabled': '', 'focusable': '', 'focused': '', 'scrollable': '', 'ong-clickable': '', 'password': '', 'selected': '', 'bounds': '[0,549][1080,1794]'}",['CA'],ImageView
"[187,378][385,629]","[187,378][385,629]","{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[187,378][385,629]'}","{'index': '1', 'text': '', 'resource-id': '', 'class': 'android.view.View', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[187,378][385,629]'}",NC,View
"[0,0][1080,1794]","[0,0][1080,1794]","{'index': '1', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/gradient_bg', 'class': 'android.view.View', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}","{'index': '1', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/gradient_bg', 'class': 'android.view.View', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[0,0][1080,1794]'}",NC,View
"[159,1479][921,1794]","[159,1479][921,1794]","{'index': '2', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/overview_panel', 'class': 'android.widget.LinearLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[159,1479][921,1794]'}","{'index': '2', 'text': '', 'resource-id': 'amirz.rootless.nexuslauncher:id/overview_panel', 'class': 'android.widget.LinearLayout', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[159,1479][921,1794]'}",NC,LinearLayout
"[159,1479][413,1659]","[159,1479][413,1659]","{'index': '0', 'text': 'WALLPAPERS', 'resource-id': 'amirz.rootless.nexuslauncher:id/wallpaper_button', 'class': 'android.widget.ImageView', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[159,1479][413,1659]'}","{'index': '0', 'text': 'ra\nW\nWALLPAPERS', 'resource-id': 'amirz.rootless.nexuslauncher:id/wallpaper_button', 'class': 'android.widget.ImageView', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[159,1479][413,1659]'}",['IC'],ImageView
"[667,1479][921,1659]","[667,1479][921,1659]","{'index': '2', 'text': 'HOME SETTINGS', 'resource-id': 'amirz.rootless.nexuslauncher:id/settings_button', 'class': 'android.widget.ImageView', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[667,1479][921,1659]'}","{'index': '2', 'text': 'HOME SETTINGS', 'resource-id': 'amirz.rootless.nexuslauncher:id/settings_button', 'class': 'android.widget.ImageView', 'package': 'amirz.rootless.nexuslauncher', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'true', 'password': 'false', 'selected': 'false', 'bounds': '[667,1479][921,1659]'}",NC,ImageView
