old_bounds,new_bounds,node_attributes,new_attributes,change_types,class
"[445,340][636,391]","[445,741][636,792]","{'index': '1', 'text': 'next shuttle', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_type', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[445,340][636,391]'}","{'index': '2', 'text': 'next shuttle', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_type', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[445,741][636,792]'}","['VT', 'VS']",TextView
"[459,412][621,497]","[459,792][621,877]","{'index': '2', 'text': 'NCBS', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_origin', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[459,412][621,497]'}","{'index': '3', 'text': 'NCBS', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_origin', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[459,792][621,877]'}","['VT', 'VS']",TextView
"[289,995][792,1089]","[289,1354][792,1448]","{'index': '6', 'text': 'Or\nselect different transport route', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_change_route', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[289,995][792,1089]'}","{'index': '7', 'text': 'Or\nselect different transport route', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_change_route', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[289,1354][792,1448]'}","['VT', 'VS']",TextView
"[339,848][741,974]","[339,1207][741,1333]","{'index': '5', 'text': 'SEE FULL TIMETABLE', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_see_all', 'class': 'android.widget.Button', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[339,848][741,974]'}","{'index': '6', 'text': 'SEE FULL TIMETABLE', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_see_all', 'class': 'android.widget.Button', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[339,1207][741,1333]'}","['VT', 'VS']",Button
,"[343,263][737,657]",,"{'index': '1', 'text': '', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_graphics', 'class': 'android.widget.ImageView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': 'Home', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[343,263][737,657]'}",['CA'],ImageView
,"[350,1004][730,1123]",,"{'index': '5', 'text': '08:00 AM', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_time', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[350,1004][730,1123]'}",['CA'],TextView
,"[389,877][692,962]",,"{'index': '4', 'text': 'MANDARA', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_destination', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[389,877][692,962]'}",['CA'],TextView
"[484,497][596,582]",,"{'index': '3', 'text': 'IISC', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_destination', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[484,497][596,582]'}",,['CR'],TextView
"[351,624][729,743]",,"{'index': '4', 'text': '05:45 PM', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_time', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[351,624][729,743]'}",,['CR'],TextView
"[183,1329][414,1455]",,"{'index': '8', 'text': 'GOI', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_covid_who', 'class': 'android.widget.Button', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[183,1329][414,1455]'}",,['CR'],Button
"[414,1329][645,1455]",,"{'index': '9', 'text': 'NCBS', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_covid_ncbs', 'class': 'android.widget.Button', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[414,1329][645,1455]'}",,['CR'],Button
"[183,1257][897,1308]",,"{'index': '7', 'text': 'Important Information Regarding COVID-19', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/textView14', 'class': 'android.widget.TextView', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'false', 'enabled': 'true', 'focusable': 'false', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[183,1257][897,1308]'}",,['CR'],TextView
"[645,1329][897,1455]",,"{'index': '10', 'text': 'HELPLINES', 'resource-id': 'com.rohitsuratekar.NCBSinfo:id/hm_emergency', 'class': 'android.widget.Button', 'package': 'com.rohitsuratekar.NCBSinfo', 'content-desc': '', 'checkable': 'false', 'checked': 'false', 'clickable': 'true', 'enabled': 'true', 'focusable': 'true', 'focused': 'false', 'scrollable': 'false', 'long-clickable': 'false', 'password': 'false', 'selected': 'false', 'bounds': '[645,1329][897,1455]'}",,['CR'],Button
